gen,avg_fit
1,1.728292464813684
2,1.7098473602724442
3,1.7040111693466313
4,1.6490948122328517
5,1.6429712671785361
6,1.5988668927297947
7,1.5523713706455284
8,1.5395562674800793
9,1.5318945013607135
10,1.5077200888044568
11,1.5053446685286955
12,1.498771982024259
13,1.4717559446404476
14,1.4701486866853624
15,1.450204507504655
16,1.4461518029453226
17,1.4388119624051081
18,1.3847869762572464
19,1.3426965919970448
20,1.2811700722195838
21,1.2798171282161461
22,1.2715831133010682
23,1.2560948489834227
24,1.251806109169927
25,1.2486288102803598
26,1.220333909563441
27,1.1628403644714325
28,1.1603796098408605
29,1.1381595902970953
30,1.1316588830841834
31,1.0941691755998824
32,1.0919770205275496
33,1.089506760220428
34,1.0869240172520374
35,1.0762763661789205
36,1.0751423684141093
37,1.0660289146896744
38,1.0534931818267483
39,1.049240721423133
40,1.0488421520569011
41,1.0458342120489104
42,1.0293232994851151
43,1.0233965937874574
44,1.0194205424384286
45,1.0160565294456883
46,1.0109627353921191
47,0.9973015162908685
48,0.9899707385357065
49,0.9830671343412413
50,0.9824183619045466
51,0.975389049554847
52,0.9581048083881765
53,0.9527671719399025
54,0.9504329994685302
55,0.9482104780589667
56,0.9470497466095242
57,0.9440308285463359
58,0.9439522200171879
59,0.9379852818674567
60,0.9294766035499167
61,0.9239603404799059
62,0.9217669980814317
63,0.9216644215837047
64,0.8689037351772697
65,0.8682720941606169
66,0.8522621861124303
67,0.8382232488824057
68,0.8369886228712938
69,0.8349618665709267
70,0.8292319248441399
71,0.8282401282312233
72,0.8275306961500478
73,0.8208997058069671
74,0.8200400722572766
75,0.8146495903724812
76,0.8118139940520614
77,0.8092343748822097
78,0.8083751630217639
79,0.8074408103783612
80,0.8007710246247672
81,0.8005808545544323
82,0.7992446273492095
83,0.7980168590888874
84,0.7896771438775433
85,0.7859049309843122
86,0.774323631653738
87,0.7734859188773548
88,0.7732990916955017
89,0.7684584525371086
90,0.764899192712456
91,0.7644201820001357
92,0.7643627568770684
93,0.7595858540455782
94,0.7594900881825241
95,0.7571048701102894
96,0.7544100096305343
97,0.7537666319892048
98,0.7504614434681985
99,0.7487316671189814
100,0.7435959067402432
101,0.7433655960942623
102,0.7295914820657213
103,0.7281719936148239
104,0.723687012819353
105,0.7223251379559897
106,0.7191287334810895
107,0.7171629949076901
108,0.6889426837151623
109,0.6888177317736014
110,0.6793107383283956
111,0.6781951299839428
112,0.6777582010312776
113,0.6774454560274705
114,0.676364096388267
115,0.6762634964116365
116,0.67406765450317
117,0.6723693729221792
118,0.6693099302869937
119,0.6687307554221227
120,0.6683348245584277
121,0.6630995643643848
122,0.6571000383525191
123,0.6564742350227288
124,0.6563540206067048
125,0.6536807157503525
126,0.6482847071450649
127,0.6412307012385885
128,0.6395894207356145
129,0.6389826947214872
130,0.6350986140323104
131,0.6339429593444452
132,0.6335330279266647
133,0.6292039166685514
134,0.6280640411681782
135,0.6269903214073018
136,0.6264858962616189
137,0.6259886068518141
138,0.6190589992725272
139,0.6185944155151488
140,0.6181120666259583
141,0.6178152562928285
142,0.6156110842549246
143,0.6109237491613331
144,0.6097313203443623
145,0.6087824912740952
146,0.6067175190914506
147,0.6063654886695162
148,0.6039002391614086
149,0.6031755956419477
150,0.6024226117782753
151,0.6022665231509751
152,0.6012000969649682
153,0.5984268682482605
154,0.5911899434418135
155,0.5906742481210092
156,0.5900225097247664
157,0.5898156063655758
158,0.5890350383713655
159,0.5886042651393506
160,0.5881926893690963
161,0.587057480720085
162,0.583979618039065
163,0.5837811531763801
164,0.5819706574959858
165,0.5795842285395512
166,0.579565111175189
167,0.5763934332383472
168,0.5737308755682203
169,0.5728835511040249
170,0.5717590590157632
171,0.5716535801652456
172,0.5716110790721517
173,0.5693297119886017
174,0.5677201241415444
175,0.5659827408952816
176,0.5648941159508786
177,0.5627030563282599
178,0.5612458325794755
179,0.5596862938274118
180,0.5590043775584052
181,0.5588453394621978
182,0.5585629325259516
183,0.557141644239395
184,0.5561029011277714
185,0.5552895992114647
186,0.5547602260819745
187,0.5526588190062646
188,0.5522925288916027
189,0.5520647177556144
190,0.5520433081921734
191,0.5488576650383337
192,0.546357415322915
193,0.5456061582649208
194,0.5446918629524089
195,0.5443029830155822
196,0.543046191227356
197,0.5420366035687632
198,0.5398129372375632
199,0.5392819786507452
200,0.5379057663530618
201,0.5340778551424414
202,0.5313267922028481
203,0.5298662514794461
204,0.5294172984937919
205,0.5284567752033532
206,0.5271760460720236
207,0.5271217141220195
208,0.527007236093207
209,0.5254356685965428
210,0.5254038369480818
211,0.5250000047116117
212,0.5246490320464979
213,0.5222042356446616
214,0.5196627546154948
215,0.5179242452940422
216,0.517339374090659
217,0.5116480558005594
218,0.5110949832643553
219,0.5108076173568236
220,0.5107642399039585
221,0.5106834310521594
222,0.5102542762587542
223,0.5101492544345689
224,0.509932376593467
225,0.5092586420381301
226,0.5058105974512066
227,0.5048776418006649
228,0.5017489667435602
229,0.5009134448666048
230,0.5008345984010675
231,0.5001359629780401
232,0.5001029934753601
233,0.4997192798207326
234,0.4992446697537146
235,0.4977448412563795
236,0.4969733619610859
237,0.49692159783944334
238,0.49533727600998106
239,0.49495410654650174
240,0.4927335310325591
241,0.4919242316303684
242,0.49095918990433546
243,0.48894395349450814
244,0.4879872442537184
245,0.4857994780476589
246,0.484618898934045
247,0.4835656629049159
248,0.48350828018635367
249,0.481985755855591
250,0.48105771677182985
251,0.47905258676904056
252,0.47832127396325697
253,0.47754183675584805
254,0.47635392166285967
255,0.4761288079245539
256,0.4739333665030795
257,0.4733340282960551
258,0.47273895645340025
259,0.47267183954512215
260,0.47242962265644434
261,0.4705061213258852
262,0.4658560739270718
263,0.46510603717650073
264,0.4615188115807646
265,0.46021524055604557
266,0.4600694114631627
267,0.4593974390505914
268,0.4585092484225524
269,0.4582053706719135
270,0.4579684402115325
271,0.45744943262772236
272,0.4572539926197315
273,0.45681597057315815
274,0.4566100401617779
275,0.4554733355760605
276,0.4551112505748166
277,0.4537640358911731
278,0.4530744420509457
279,0.4526263206647519
280,0.4525517900355067
281,0.4504548825489442
282,0.4500664949755373
283,0.449914324053343
284,0.44975040708324854
285,0.44877324002457575
286,0.4487397899375052
287,0.4470690665731883
288,0.44702110236635983
289,0.44696208943015886
290,0.4455542457275105
291,0.4445547432737032
292,0.4440633857829945
293,0.44282416123889
294,0.4422912756028978
295,0.44169880692569224
296,0.44101037685354805
297,0.4407078701819059
298,0.44007966628596845
299,0.4397276311524225
300,0.4385107702731227
301,0.4381972454975839
302,0.43734323290061894
303,0.43712509705920044
304,0.4370702256296598
305,0.43448245772742006
306,0.4326856115860416
307,0.4313168624812478
308,0.42973875055597016
309,0.42930175799654735
310,0.4291631965646697
311,0.42820208903438345
312,0.42803016939186284
313,0.4275344583719686
314,0.42698088169331555
315,0.42578367530210853
316,0.42542806641110886
317,0.4241344510218543
318,0.42258858772267077
319,0.4222454504677688
320,0.42166054392729796
321,0.4213569064688544
322,0.4209487536844803
323,0.42055899032046495
324,0.41998801130409874
325,0.4192194791219064
326,0.4182647982299417
327,0.41710391365311983
328,0.41694765776360526
329,0.41687500471161165
330,0.4163018347958176
331,0.4156372219206791
332,0.4153899023565597
333,0.41511157803182785
334,0.41417705577040503
335,0.4131191293318558
336,0.41307469176636435
337,0.4129531981477712
338,0.4128354361256229
339,0.41250106718004387
340,0.41210945215264116
341,0.4103762080572329
342,0.41001995367543403
343,0.4096818719798569
344,0.4094322507934354
345,0.40924613742075067
346,0.40909676755169583
347,0.4090349888994429
348,0.4090291394335512
349,0.40883211632403826
350,0.4085217294818735
 351,0.4085159648249919
352,0.40802848499068983
353,0.4072288514598458
354,0.40708725103843924
355,0.4067272415021372
356,0.4058906218196621
357,0.40587895115754874
358,0.40556100924606675
359,0.40531436108661073
360,0.40487231532366885
361,0.4047811856865007
362,0.40460572762361385
363,0.4044418153651311
364,0.40348970701313974
365,0.40342217783884027
366,0.4033136929800755
367,0.4026631913818969
368,0.4021589711913216
369,0.40180689600907643
370,0.4002873399936676
371,0.40022884297894473
372,0.40004195925775154
373,0.399262300604594
374,0.3988265542664586
375,0.398611386740394
376,0.39781633289609575
377,0.3973062726628521
378,0.39694432900995846
379,0.3962141281445296
380,0.39506278693715086
381,0.39467286808995033
382,0.3936508983158815
383,0.393107046403721
384,0.39249001845067133
385,0.3916701650383337
386,0.3911068471025473
387,0.3907331974504527
388,0.39047233671438586
389,0.38993496091246954
390,0.38964885064944854
391,0.38907114345161364
392,0.38823526820378285
393,0.38761655113794846
394,0.3859432410988232
395,0.3858424031858034
396,0.38551008379130197
397,0.38543871700929505
398,0.3850243566765422
399,0.3848130314697967
400,0.3846793630466412
401,0.3844077833940189
402,0.38264878562920746
403,0.3822786013674982
404,0.3822426941749403
405,0.3819585250959284
406,0.38120547055808096
407,0.38060957182757765
408,0.37994943733933406
409,0.37908964123904076
410,0.3788911033463751
411,0.3779699361482386
412,0.3776866481406096
413,0.3774635250582355
414,0.37632155053486216
415,0.3752204068382447
