generation,avg_fitness,max_fitness
0,15.903757241911963,23.78217532870571
1,18.17290345404891,23.872742488752078
2,19.012323280312412,23.90937822395797
3,19.45246035827611,23.93042020061034
4,19.730987293851626,23.943231584148467
5,19.92918173524111,23.954564245119773
6,20.154380189472718,23.96204737216603
7,20.307971993084823,23.96686505776749
8,20.441982227442576,23.970929106534197
9,20.581656747304823,23.973348665700964
10,20.68074298451085,23.975638422387963
11,20.751984100717337,23.97718219502885
12,20.828675899990333,23.97958713041483
13,20.949186647566577,23.980983620500247
14,21.01640635393438,23.982256351424947
15,21.0763895977779,23.983590094382457
16,21.136149992442054,23.984973328508953
17,21.193967832597046,23.98610807116255
18,21.236269017006478,23.986617641718347
19,21.29026481495838,23.987199621355796
20,21.34601176308828,23.987652266681273
21,21.38997648477869,23.9881317884156
22,21.423003813184156,23.98841039804448
23,21.461604841609752,23.988852272058775
24,21.492981304768758,23.989216210996553
25,21.520522725529865,23.9895404493648
26,21.53029973239545,23.989939409102565
27,21.569903542222452,23.99019542636099
28,21.59477657789273,23.990513244530703
29,21.599927453701373,23.990777384062294
30,21.61680785860901,23.99096095378843
31,21.63492216277481,23.991030762374457
32,21.649370074036558,23.99108209387476
33,21.675417513785593,23.99116748856511
34,21.690813651096335,23.991279571780314
35,21.713035625093717,23.991401540687328
36,21.735121136776982,23.991437711562924
37,21.754240608546116,23.991531731965956
38,21.749705500766694,23.99164888752968
39,21.76386510151843,23.99174964634106
40,21.771323137965613,23.99183090910084
41,21.78618074093533,23.99192595212421
42,21.787573824405293,23.991981920517077
43,21.812042265298594,23.992038021418733
44,21.808363530949688,23.992176951346973
45,21.8213070365087,23.992209481446938
46,21.835168247131747,23.992210777823885
47,21.820257771639735,23.992258681362053
48,21.84745309002676,23.992286789222423
49,21.847029615282928,23.992346077165706
50,21.85457224042543,23.992417645435463
51,21.864620092372665,23.99243666814184
52,21.865443558815038,23.99245991149971
53,21.878378327840394,23.992532575963722
54,21.873948012922597,23.99263744974885
55,21.909608134481154,23.992712180012365
56,21.932403018597732,23.99275672632266
57,21.944901924511935,23.99284746484607
58,21.923786709802805,23.992906323451486
59,21.9374735269439,23.99291034065363
60,21.958131847406637,23.992950646369557
61,21.947357860210232,23.992966439349512
62,21.962514845445153,23.993005357817275
63,21.976695739926928,23.993024314412747
64,21.98169988683178,23.99309695692369
65,21.974121119691308,23.993207983742078
66,21.985476150485,23.993230615777374
67,21.991145798519252,23.993278403968915
68,22.001893485644718,23.993347570144095
69,21.995578201343374,23.99336867931033
70,22.011233921501756,23.993432455131263
71,22.010840738499596,23.9934455755054
72,22.025059449489728,23.993499596267167
73,22.021080279803872,23.993520104903066
74,22.036461156584537,23.993569720464656
75,22.045019555685812,23.993599002053806
76,22.064085496167944,23.993616666047313
77,22.068213091822496,23.99361732953197
78,22.070396145365123,23.9936257074272
79,22.095476227643434,23.993642708449652
80,22.088989759887202,23.99371165955868
81,22.09648863762404,23.993725579395697
82,22.106623113978955,23.993728080950252
83,22.0971999029937,23.99373266627441
84,22.093339811426695,23.99374374768102
85,22.11323600143868,23.993795466782792
86,22.10416349590551,23.99388040864496
87,22.112963910238456,23.99388242840605
88,22.138005561741355,23.99388242840605
89,22.1370833888286,23.993896258533674
90,22.13568560603735,23.994014248400795
91,22.142280602601463,23.994079270472533
92,22.15226345483042,23.9940828630312
93,22.14261911792092,23.99408615845744
94,22.15950367446065,23.994089169185784
95,22.158845575154736,23.994100464119075
96,22.15195099766016,23.994116865531293
97,22.154612104974177,23.994127804460213
98,22.182671579180482,23.994133632622425
99,22.171612384358752,23.994135504756436
